Identification code,Last name,First name,Age,sex,class,First name G1,First name G2,First name G3,Last name G1,Last name G2,Last name G3,Address : City G1,Address : City G2,"Address : Street, number, residence, building G1","Address : Street, number, residence, building G2",Address : Zip code G1,Address : Zip code G2,Email G1,Email G2,Home phone number G1,Home phone number G2,Home phone number G3,Mobile phone number G1,Mobile phone number G2,Mobile phone number G3,s2h_time,h2s_time
2378S5425,Kid_lastname_01,Kid_name_01,3,F,K-1,firstname_dad_01,firstname_mom_01,firstname_sitter_01,lastname_dad_01,lastname_mom_01,lastname_sitter_01,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_01,mom_email_01,+66,+66,,+66 81 999 9999_dad01,+66 081 888 8888_mom01,+66 081 777 7777_sitter01,,
2378S5533,Kid_lastname_02,Kid_name_02,3,F,K-1,firstname_dad_02,firstname_mom_02,firstname_sitter_02,lastname_dad_02,lastname_mom_02,lastname_sitter_02,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_02,mom_email_02,+66,+66,,+66 81 999 9999_dad02,+66 081 888 8888_mom02,+66 081 777 7777_sitter02,,
13787,Kid_lastname_03,Kid_name_03,3,M,K-1,firstname_dad_03,firstname_mom_03,firstname_sitter_03,lastname_dad_03,lastname_mom_03,lastname_sitter_03,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_03,mom_email_03,+66,+66,,+66 81 999 9999_dad03,+66 081 888 8888_mom03,+66 081 777 7777_sitter03,,
13893,Kid_lastname_04,Kid_name_04,3,M,K-1,firstname_dad_04,firstname_mom_04,firstname_sitter_04,lastname_dad_04,lastname_mom_04,lastname_sitter_04,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_04,mom_email_04,+66,+66,,+66 81 999 9999_dad04,+66 081 888 8888_mom04,+66 081 777 7777_sitter04,,
14234,Kid_lastname_05,Kid_name_05,3,M,K-1,firstname_dad_05,firstname_mom_05,firstname_sitter_05,lastname_dad_05,lastname_mom_05,lastname_sitter_05,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_05,mom_email_05,+66,+66,,+66 81 999 9999_dad05,+66 081 888 8888_mom05,+66 081 777 7777_sitter05,,
13894,Kid_lastname_06,Kid_name_06,3,M,K-1,firstname_dad_06,firstname_mom_06,firstname_sitter_06,lastname_dad_06,lastname_mom_06,lastname_sitter_06,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_06,mom_email_06,+66,+66,,+66 81 999 9999_dad06,+66 081 888 8888_mom06,+66 081 777 7777_sitter06,,
GC017STU01,Kid_lastname_07,Kid_name_07,3,F,K-1,firstname_dad_07,firstname_mom_07,firstname_sitter_07,lastname_dad_07,lastname_mom_07,lastname_sitter_07,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_07,mom_email_07,+66,+66,,+66 81 999 9999_dad07,+66 081 888 8888_mom07,+66 081 777 7777_sitter07,,
GC017STU02,Kid_lastname_08,Kid_name_08,3,F,K-1,firstname_dad_08,firstname_mom_08,firstname_sitter_08,lastname_dad_08,lastname_mom_08,lastname_sitter_08,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_08,mom_email_08,+66,+66,,+66 81 999 9999_dad08,+66 081 888 8888_mom08,+66 081 777 7777_sitter08,,
2704S6140,Kid_lastname_09,Kid_name_09,3,F,K-1,firstname_dad_09,firstname_mom_09,firstname_sitter_09,lastname_dad_09,lastname_mom_09,lastname_sitter_09,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_09,mom_email_09,+66,+66,,+66 81 999 9999_dad09,+66 081 888 8888_mom09,+66 081 777 7777_sitter09,,
2704S6138,Kid_lastname_10,Kid_name_10,3,F,K-1,firstname_dad_10,firstname_mom_10,firstname_sitter_10,lastname_dad_10,lastname_mom_10,lastname_sitter_10,Bangkok,Bangkok,"Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak","Trinity Complex, Soi Naradhiwas 3, Silom, Bang Rak",10500,10500,dad_email_10,mom_email_10,+66,+66,,+66 81 999 9999_dad10,+66 081 888 8888_mom10,+66 081 777 7777_sitter10,,
